"","altitude","cyadea","beitaw","kniexc"
"213",260,1,0,0
"214",220,0,0,1
"215",180,0,0,1
"216",180,1,0,0
"217",180,0,0,1
"218",120,1,1,1
"219",120,0,0,1
"220",190,1,1,1
"221",180,1,1,1
"222",180,1,1,1
"223",160,1,1,1
"224",200,0,1,1
"225",160,0,0,0
"226",120,1,0,1
"227",110,1,1,1
"228",200,1,0,1
"229",240,1,0,0
"230",290,0,0,1
"231",210,0,0,1
"232",200,0,0,1
"233",200,0,0,1
"234",290,1,0,1
"235",120,1,1,1
"236",300,1,1,1
"237",240,0,1,0
"238",300,0,1,1
"239",320,1,1,1
"240",270,0,0,0
"241",210,1,0,1
"242",120,0,0,1
"243",40,0,0,0
"244",80,0,1,1
"245",260,0,1,1
"246",200,0,0,1
"247",130,0,0,0
"248",150,0,1,0
"249",100,1,0,0
"250",170,1,0,1
"251",150,1,1,1
"252",150,0,1,1
"253",250,0,0,1
"254",120,1,0,1
"255",180,1,1,1
"256",200,0,0,1
"257",10,0,0,0
"258",100,0,0,0
"259",160,0,0,1
"260",280,1,1,1
"261",210,1,1,0
"262",260,0,0,1
"263",170,0,0,1
"264",80,0,0,0
"265",100,1,0,1
"266",60,0,0,0
"267",100,0,1,1
"268",160,0,1,0
"269",90,0,0,0
"270",150,0,0,1
"271",130,0,1,1
"272",200,0,1,1
"273",100,0,1,1
"274",100,0,0,0
"275",60,0,1,1
"276",20,1,1,0
"277",200,0,0,1
"278",200,1,1,1
"279",300,0,1,1
"280",300,0,0,0
"281",300,0,0,1
"282",450,1,0,1
"283",390,0,0,1
"284",400,0,0,0
"285",400,1,1,1
"286",300,1,1,1
"287",160,0,0,1
"288",230,0,0,0
"289",200,1,1,0
"290",280,0,0,0
"291",260,0,0,0
"292",300,1,1,1
"293",400,0,1,1
"294",500,0,1,0
"295",400,0,1,1
"296",500,0,1,1
"297",600,0,1,0
"298",620,0,1,0
"299",600,0,0,0
"300",600,0,1,0
"301",20,1,1,1
"302",100,0,0,0
"303",300,1,1,1
"304",500,0,1,1
"305",660,0,1,0
"306",360,0,0,1
"307",360,1,1,1
"308",100,0,0,0
"309",100,0,0,1
"310",100,1,0,0
"311",230,0,0,1
"312",300,0,1,0
"313",220,0,0,1
"314",280,1,1,0
"315",230,0,0,1
"316",220,0,0,1
"317",135,0,0,1
"318",280,0,0,1
"319",140,0,0,1
"320",150,0,0,0
"321",100,0,0,1
"322",600,0,1,0
"323",600,0,1,0
"324",480,0,1,0
"325",300,1,1,1
"326",200,1,1,1
"327",245,0,0,0
"328",245,0,1,0
"329",260,0,1,0
"330",280,0,0,1
"331",260,0,0,1
"332",320,0,1,1
"333",300,1,1,1
"334",180,1,1,1
"335",220,0,1,1
"336",170,0,1,1
"337",200,1,1,1
"338",180,0,1,1
"339",150,1,1,1
"340",160,1,1,1
"341",210,0,0,1
"342",300,0,0,0
"343",320,1,1,1
"344",70,1,0,0
"345",190,1,0,1
"346",370,0,0,0
"347",420,1,0,0
"348",400,1,1,0
"349",340,0,0,1
"350",380,1,1,1
"351",440,1,1,1
"352",500,0,1,1
"353",500,0,1,1
"354",180,0,0,1
"355",300,1,1,0
"356",400,0,1,1
"357",200,0,1,1
"358",110,1,0,0
"359",180,0,0,0
"360",300,0,0,0
"361",300,0,0,0
"362",320,0,0,0
"363",130,0,0,0
"364",110,1,0,0
"365",90,0,0,0
"366",120,0,0,0
"367",300,0,1,1
"368",180,1,0,1
"369",190,1,0,0
"370",240,0,1,1
"371",1,0,0,0
"372",20,0,0,0
"373",1,0,0,0
"374",20,0,0,0
"375",8,0,0,0
"376",15,0,0,0
"377",20,1,0,0
"378",20,1,0,0
"379",8,1,0,0
"380",20,0,0,0
"381",10,1,0,0
"382",20,0,0,0
"383",35,0,1,0
"384",8,0,0,0
"385",20,0,1,0
"386",20,0,1,0
"387",45,0,1,0
"388",0,0,0,0
"389",5,0,0,0
"390",0,1,0,0
"391",10,0,1,0
"392",40,0,0,1
